               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.021134,            0.023521,           0.0023891,             0.98801,             0.95598,              0.9814,             0.64941,            0.025217,            0.022578,              0.0025,            0.006304,            0.006304,            0.006304
                 114,            0.021352,            0.024292,           0.0022273,             0.97848,              0.9577,              0.9761,             0.57747,            0.028863,            0.025224,           0.0025352,            0.006271,            0.006271,            0.006271
                 115,            0.021118,            0.024414,            0.002114,             0.98214,             0.94133,             0.96778,             0.47375,            0.036043,            0.029725,           0.0030171,            0.006238,            0.006238,            0.006238
                 116,            0.019884,            0.023385,           0.0024889,             0.98364,             0.95627,               0.975,             0.52364,            0.033322,            0.027707,           0.0027786,            0.006205,            0.006205,            0.006205
                 117,            0.021014,            0.024178,           0.0021972,              0.9808,             0.96686,             0.98229,             0.67709,            0.023653,            0.021138,           0.0028167,            0.006172,            0.006172,            0.006172
                 118,            0.020469,            0.023518,           0.0023779,             0.98806,             0.95991,             0.98244,             0.70878,            0.021551,            0.020947,           0.0022529,            0.006139,            0.006139,            0.006139
                 119,            0.020697,            0.024119,           0.0021641,             0.97037,             0.94006,             0.95488,             0.44767,            0.038497,              0.0307,           0.0027475,            0.006106,            0.006106,            0.006106
                 120,            0.020861,            0.024309,           0.0022535,             0.98675,             0.96255,             0.98068,             0.73246,            0.019698,            0.020199,            0.002373,            0.006073,            0.006073,            0.006073
                 121,             0.02025,            0.023125,           0.0020034,             0.98643,             0.95541,             0.97168,              0.6294,             0.02637,            0.023632,           0.0025342,             0.00604,             0.00604,             0.00604
                 122,            0.020534,            0.023895,           0.0021947,             0.97815,             0.95998,             0.97581,             0.65979,            0.024498,            0.022741,           0.0024754,            0.006007,            0.006007,            0.006007
                 123,            0.020906,            0.024262,           0.0020743,             0.97258,             0.95582,             0.97309,             0.58704,            0.029582,            0.025735,           0.0024981,            0.005974,            0.005974,            0.005974
                 124,            0.020621,            0.023862,           0.0022144,             0.98995,             0.96833,              0.9831,             0.77955,            0.017171,             0.01851,           0.0019025,            0.005941,            0.005941,            0.005941
                 125,            0.019735,            0.023347,           0.0022519,             0.96085,             0.95338,              0.9658,             0.54606,            0.031636,            0.026987,           0.0027171,            0.005908,            0.005908,            0.005908
                 126,            0.020289,            0.024349,           0.0020339,             0.98598,             0.95535,             0.97691,             0.71403,            0.021381,            0.020913,           0.0022318,            0.005875,            0.005875,            0.005875
                 127,            0.020325,            0.023623,           0.0021266,             0.98599,             0.96323,             0.97973,             0.67679,            0.023797,            0.021248,           0.0025037,            0.005842,            0.005842,            0.005842
                 128,            0.020082,            0.024061,           0.0020683,             0.98277,             0.97057,             0.98519,             0.69826,            0.021967,            0.021247,           0.0022474,            0.005809,            0.005809,            0.005809
                 129,            0.019827,            0.023763,           0.0022107,             0.98581,             0.96521,             0.97871,             0.73289,            0.019712,            0.020126,           0.0022454,            0.005776,            0.005776,            0.005776
                 130,            0.020244,            0.024022,           0.0022146,             0.97346,             0.97469,             0.98188,             0.75018,            0.019043,            0.019959,           0.0022343,            0.005743,            0.005743,            0.005743
                 131,            0.019975,            0.022994,           0.0020901,             0.97795,             0.96451,             0.98119,             0.62962,            0.026654,            0.023352,           0.0023771,             0.00571,             0.00571,             0.00571
                 132,             0.02012,            0.023426,            0.002221,             0.97835,             0.96356,              0.9794,             0.67917,            0.022833,            0.021807,           0.0023806,            0.005677,            0.005677,            0.005677
                 133,            0.020361,            0.023827,           0.0021201,             0.98713,             0.96247,             0.98036,             0.63335,            0.026506,            0.023116,           0.0022235,            0.005644,            0.005644,            0.005644
                 134,            0.020171,            0.023741,           0.0021999,             0.98501,             0.95186,             0.97735,             0.60659,            0.027483,            0.024211,           0.0023108,            0.005611,            0.005611,            0.005611
                 135,            0.019207,            0.023254,           0.0020353,             0.98426,             0.95707,             0.97819,             0.59135,            0.030147,            0.025413,           0.0024158,            0.005578,            0.005578,            0.005578
                 136,            0.019202,            0.023143,           0.0021979,              0.9849,             0.96371,             0.97716,             0.63185,            0.027616,            0.023783,           0.0026288,            0.005545,            0.005545,            0.005545
                 137,            0.019083,            0.023148,           0.0020114,              0.9753,              0.9571,             0.96965,             0.54421,            0.032225,            0.027403,           0.0031291,            0.005512,            0.005512,            0.005512
                 138,            0.020395,            0.023605,           0.0021889,             0.98004,             0.95954,             0.97878,             0.71152,            0.021287,            0.021596,           0.0027084,            0.005479,            0.005479,            0.005479
                 139,            0.019237,             0.02304,           0.0019398,              0.9904,             0.96532,             0.97861,             0.67184,            0.023756,            0.022394,           0.0021911,            0.005446,            0.005446,            0.005446
                 140,            0.019357,            0.023193,           0.0021498,             0.98449,             0.95874,             0.97297,             0.59264,            0.030166,            0.025166,           0.0022917,            0.005413,            0.005413,            0.005413
                 141,            0.019551,            0.023026,           0.0020552,             0.98288,             0.96992,             0.97648,             0.72403,             0.02026,            0.020249,           0.0020663,             0.00538,             0.00538,             0.00538
                 142,            0.019433,            0.023162,           0.0021065,             0.97792,             0.96359,             0.97652,             0.66195,            0.024876,            0.023166,           0.0023938,            0.005347,            0.005347,            0.005347
                 143,             0.01937,               0.023,           0.0021249,             0.98163,             0.95995,             0.97464,             0.63734,            0.025842,            0.023396,           0.0022986,            0.005314,            0.005314,            0.005314
                 144,            0.018504,            0.023209,           0.0020007,             0.98293,             0.96727,              0.9815,             0.71529,            0.021106,            0.021275,           0.0021847,            0.005281,            0.005281,            0.005281
                 145,            0.019482,            0.022792,           0.0020039,             0.97824,              0.9623,             0.97389,             0.57439,            0.030346,            0.026339,           0.0023651,            0.005248,            0.005248,            0.005248
                 146,            0.019284,            0.023353,           0.0021283,             0.98023,             0.96225,             0.97893,             0.61258,            0.027717,            0.024417,           0.0024251,            0.005215,            0.005215,            0.005215
                 147,            0.019525,            0.022783,           0.0020881,             0.98369,             0.95942,             0.98133,             0.58778,            0.028894,            0.024388,           0.0022347,            0.005182,            0.005182,            0.005182
                 148,            0.019039,            0.023181,           0.0019808,             0.97991,              0.9756,             0.98363,             0.73733,            0.019498,            0.019629,            0.002101,            0.005149,            0.005149,            0.005149
                 149,            0.018892,            0.022747,           0.0018018,              0.9829,             0.97171,             0.98441,             0.76535,            0.018057,            0.018742,           0.0019783,            0.005116,            0.005116,            0.005116
                 150,             0.01934,            0.023296,           0.0021167,             0.98349,              0.9685,              0.9792,              0.7109,            0.022083,            0.021051,           0.0020686,            0.005083,            0.005083,            0.005083
                 151,              0.0193,            0.022828,            0.002093,             0.98005,             0.97211,              0.9843,             0.70914,            0.021845,            0.020677,           0.0023201,             0.00505,             0.00505,             0.00505
                 152,            0.019141,            0.022935,           0.0018951,             0.97781,             0.96586,             0.98149,             0.62579,            0.027269,            0.023813,           0.0024474,            0.005017,            0.005017,            0.005017
                 153,            0.018403,            0.022673,           0.0017871,             0.97655,             0.96741,             0.98163,             0.77815,            0.016972,            0.018871,           0.0026738,            0.004984,            0.004984,            0.004984
                 154,            0.018898,            0.022915,           0.0017536,             0.98306,              0.9607,             0.97889,             0.65553,            0.025146,            0.023093,           0.0025034,            0.004951,            0.004951,            0.004951
                 155,            0.018535,            0.022851,           0.0020611,              0.9828,             0.96159,             0.97983,             0.61676,            0.027789,            0.024608,           0.0025477,            0.004918,            0.004918,            0.004918
                 156,            0.018861,             0.02295,           0.0019688,             0.98656,             0.97093,             0.98332,             0.78248,            0.017268,            0.018891,           0.0022958,            0.004885,            0.004885,            0.004885
                 157,            0.018585,            0.022491,           0.0019359,             0.98354,             0.96428,             0.97723,             0.61023,            0.028024,            0.024906,           0.0026757,            0.004852,            0.004852,            0.004852
                 158,            0.018536,            0.022549,           0.0018529,             0.98403,             0.96063,             0.97818,             0.65138,            0.025747,            0.023201,           0.0023927,            0.004819,            0.004819,            0.004819
                 159,            0.019125,            0.022649,           0.0018238,             0.97788,             0.95544,             0.97281,             0.53634,            0.032792,             0.02749,           0.0026036,            0.004786,            0.004786,            0.004786
                 160,            0.018369,            0.022167,           0.0018753,              0.9895,             0.96543,             0.98602,             0.77071,             0.01751,            0.019122,           0.0022555,            0.004753,            0.004753,            0.004753
